-OR-,-OU-
"The payment curency does not match any of the merchant\'s balances currency.","A moeda de pagamento não confere com nenhuma moeda do vendedor."
"The payment eCheck is not yet cleared.","O pagamento eCheck ainda não foi desmarcado."
"The payment is authorized but not settled.","O pagamento está autorizado mas não resolvido."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","O pagamento está pendente porque foi feito para um endereço de e-mail não registrado ou não confirmado."
"The payment is pending while it is being reviewed by PayPal for risk.","O pagamento está pendente até que o Paypal avalie os riscos."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","O pagamento foi feito por cartão de crédito. Para receber os valores o vendedor precisa atualizar a conta para Business ou Premier."
"There is already another PayPal solution enabled. Enable this solution instead?","Já existe uma outra solução de PayPal habilitada. Em vez disso, permitir essa solução?"
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Entre em contato ou tente novamente."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esse recurso precisa ser habilitado pela primeira vez para o comerciante conta através do suporte técnico da PayPal."
"This operation requires an existing transaction object.","Esta operação requer um objeto de transação existente."
"Time of Day","Hora do Dia"
Title,Título
"Transaction ID","ID da Transação"
"Transaction ID must not be empty.","ID de transação não deve estar vazio."
"Transaction Information","Informações de Transação"
"Transfer Cart Line Items","Transferir Itens do carrinho"
"Transfer Shipping Options","Opções de Envio de Transferência"
"Triggered Fraud Filters","Iniciado Filtros de Fraude"
"URL method for Cancel URL and Return URL","Método de URL para cancelar a URL e a URL de retorno"
"Unable to cancel Express Checkout.","Não foi possível cancelar o pagamento Express."
"Unable to change status. Current status is not correspond to real status.","Impossível alterar status. O status atual não corresponde ao status real."
"Unable to communicate with the PayPal gateway.","Não foi possível se comunicar com o gateway do PayPal."
"Unable to initialize Express Checkout review.","Não foi possível reiniciar o processo de pagamento Express."
"Unable to initialize Express Checkout.","Não foi possível iniciar o pagamento Express."
"Unable to place the order.","Não foi possível processar o pedido."
"Unable to process Express Checkout approval.","Não foi possível processar a autorização do pagamento Express."
"Unable to start Express Checkout.","Não foi possível iniciar forma de pagamento Express."
"Unable to update Order data.","Não é possível atualizar dados do pedido."
"Unable to update shipping method.","Não foi possível atualizar a forma de entrega."
"Unknown Error. Please try again later.","Erro desconhecido. Por favor, tente novamente mais tarde."
"Unknown reason. Please contact PayPal customer service.","Razão desconhecida. Entre em contato com suporte do PayPal."
"Update Order Data","Atualizar dados do pedido"
"Use Proxy","Usar Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Use dois pontos para especificar a porta. Por exemplo: ""teste.exemplo.com:5224""."
User,Usuário
"User-initiated Currency Conversion","Conversão de Moeda Iniciada pelo Usuário"
"Uses store frontend name by default.","Usar o nome da loja no frontend por padrão."
"VAT Number","Número de VAT"
Vendor,Vendedor
View,Visualizar
"View Demo","Visualizar Demonstração"
"View Transaction","Visualizar Transações"
"View Transaction Details","Visualizar Detalhes da Transação"
"Virtual PayPal Debit Card Transaction","Transação Virtual PayPal Cartão de Débito"
"Virtual Terminal Payment","Pagamento Terminal Virtual"
Void,Anulado
"We prefer PayPal (150 X 40)","Nós preferimos PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Nós preferimos PayPal (150 X 60)"
"Website Payments Plus","Pagamentos Site Plus"
"Website Payments Pro (Includes Express Checkout)","Pagamentos de site Pro (inclui o Express Checkout)"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Site pagamentos Pro solução hospedada (inclui o Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout","Site pagamentos Pro solução hospedada e o Express Checkout"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Site pagamentos Pro Payflow Edition (inclui o Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout","Site pagamentos Pro Payflow Edition e o Express Checkout"
"Website Payments Pro and Express Checkout","Pagamentos de site Pro e Express Checkout"
"Website Payments Standard","Pagamento padrão do site"
"Website Payments Standard Payment","Website Pagamentos Standard Pagamento"
"What is PayPal?","O que é PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Necessário criar um termo de cobrança, se não houver nenhum termo de cobrança ativo disponível."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Irá aparecer como opção de pagamento apenas para clientes que possuem ao menos um termo de cobrança ativo."
"WorldLink Withdrawal","WorldLink Retirada"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Você gostaria de assinar um termo de cobrança para agilizar o processo de compras usando PayPal?"
"Wrong PayPal Express Checkout Token specified.","Token informado para PayPal Express Checkout inválido."
Yes,Sim
"Yes. Matched Address and five-didgit ZIP","Sim. Verifica endereço e dígitos do CEP"
"You cannot void a verification transaction","Você não pode anular uma transação de verificação"
"You will be redirected to the PayPal website in a few seconds.","Você será redirecionado para o PayPal em alguns segundos."
"You will be redirected to the PayPal website when you place an order.","Você será redirecionado para o site do PayPal quando você finalizar o pedido."
"You will be redirected to the PayPal website.","Você será redirecionado para o site do PayPal."
"You will be required to enter your payment details after you place an order.","Será necessário informar detalhes do pagamento depois que fizer seu pedido."
"Zip/Postal Code",Cep
"eBay Auction Payment","eBay Pagamento de Leilão"
